PRODUTC,VALUE,DATETIME,CELL_ON_SITE,DW_A_NUMBER_INT,DW_B_NUMBER_INT,COUNTRY_A,COUNTRY_B,CELL_ID,SITE_ID
sms,50,01:44.0,0,6596fd860d4edfc,45db773885cf19a,19e2e,19e2e,7af7f866c8,d29252461f
sms,25,01:44.0,2,99bc87bccbe7eac,432e0f489c6a24d,19e2e,19e2e,d1bad0e687,16205e9f52
Voice,30,01:44.0,0,7c8d3333d4aeafc,8d8de8a69f8a63f,19e2e,19e2e,b42d04b0d7,9ef9616350
Voice,11,01:44.0,0,1ba18720776d329,b5d06aff791686b,19e2e,19e2e,32c7f64ac1,4df1cab780
sms,0,01:44.0,1,2bb19001bfe66ba,292fefba65a3456,19e2e,19e2e,7773627c12,9ef9616350
sms,0,01:44.0,0,87045d11e3fcb7f,aaaf0e4bdec7311,19e2e,19e2e,a7b89a71f8,c9cb7e8be0
Voice,104,01:44.0,1,b0f3487667bdb2b,40827028d46bfd7,19e2e,19e2e,3210a28876,012f83914a
sms,0,01:44.0,0,a048e1ab344dcd8,7af76c2046e02f3,19e2e,OTHER,04b6fa5555,a2f0769f63
sms,0,01:44.0,2,0c24871bdab6597,d164ed0a0cf2360,19e2e,19e2e,b78724d6fc,ea07812c27
sms,25,01:44.0,5,062060ddc971292,6ad559c4fbf27b5,19e2e,19e2e,09e4083aae,f47392b314
sms,0,01:44.0,0,8ab8b9ed6989f61,e09e736e46c5c3d,19e2e,19e2e,03ee801971,7f76d66503
sms,0,01:44.0,0,c731afd285c9261,1d298a5d9deecfc,19e2e,19e2e,613afb4ef6,40bb97c420
sms,0,01:44.0,1,3e90517c5c3b6c9,f8ab89b18dc0bbe,19e2e,19e2e,88425d57f4,ebfc58af70
sms,25,01:44.0,2,2f40f060c59a0bf,388788c003ba9fc,19e2e,19e2e,4b216dac9b,c2545171dc
sms,0,01:44.0,2,a7ad25a582e3f13,be2d4f5d92e7e34,19e2e,19e2e,a5e351b2b3,a55150a8e7
